YearMonth,MedTemp
2008-07-01,67.14516129032258
2008-08-01,82.6774193548387
2008-09-01,93.95
2008-10-01,124.35483870967742
2008-11-01,131.75
2008-12-01,136.43548387096774
2009-01-01,171.17741935483872
2009-02-01,153.0
2009-03-01,143.4516129032258
2009-04-01,117.95
2009-05-01,109.64516129032258
2009-06-01,76.51666666666667
2009-07-01,81.20967741935483
2009-08-01,97.98387096774194
2009-09-01,105.6
2009-10-01,105.09677419354838
2009-11-01,151.06666666666666
2009-12-01,144.82258064516128
2010-01-01,162.11290322580646
2010-02-01,164.60714285714286
2010-03-01,157.25806451612902
2010-04-01,135.78333333333333
2010-05-01,101.79032258064517
2010-06-01,82.36666666666666
2010-07-01,85.79032258064517
2010-08-01,83.04838709677419
2010-09-01,98.46666666666667
2010-10-01,124.62903225806451
2010-11-01,127.3
2010-12-01,148.33870967741936
2011-01-01,163.96774193548387
2011-02-01,155.83928571428572
2011-03-01,134.43548387096774
2011-05-01,100.2741935483871
2011-06-01,81.35
2011-07-01,75.35483870967742
2011-08-01,101.3225806451613
2011-09-01,111.58333333333333
2011-10-01,115.12903225806451
2011-11-01,146.91666666666666
2011-12-01,149.3709677419355
2012-01-01,175.56451612903226
2012-02-01,157.86206896551724
2012-03-01,140.91935483870967
2012-04-01,132.75
2012-05-01,103.08064516129032
2012-06-01,84.08333333333333
2012-07-01,77.69354838709677
2012-08-01,88.46774193548387
2012-09-01,101.06666666666666
2012-10-01,115.51612903225806
2012-11-01,139.01666666666668
2013-01-01,170.38709677419354
2013-03-01,163.88709677419354
2013-04-01,121.01666666666667
2013-05-01,103.35483870967742
2013-06-01,88.81666666666666
2013-07-01,93.09677419354838
2013-08-01,87.1774193548387
2013-09-01,115.18333333333334
2013-10-01,114.66129032258064
2013-11-01,121.28333333333333
2013-12-01,143.67741935483872
2014-01-01,168.93548387096774
2014-02-01,171.35714285714286
2014-03-01,161.51612903225808
2014-04-01,125.31666666666666
2014-05-01,112.54838709677419
2014-06-01,89.25
2014-07-01,80.51612903225806
2014-08-01,94.8225806451613
2014-09-01,116.95
2014-10-01,116.7258064516129
2014-11-01,134.55
2014-12-01,154.25806451612902
2015-01-01,156.8709677419355
2015-02-01,165.82142857142858
2015-03-01,143.67741935483872
2015-04-01,123.43333333333334
2015-05-01,103.09677419354838
2015-06-01,83.56666666666666
2015-07-01,77.08064516129032
2015-08-01,70.54838709677419
2015-09-01,108.7
2015-10-01,130.96774193548387
2015-11-01,142.6
2015-12-01,135.69354838709677
2016-01-01,176.2258064516129
2016-02-01,163.89655172413794
2016-03-01,155.96774193548387
2016-04-01,143.86666666666667
2016-05-01,107.19354838709677
2016-06-01,83.46666666666667
2016-07-01,91.69354838709677
2016-08-01,91.38709677419355
2016-09-01,117.88333333333334
2016-10-01,118.58064516129032
2016-11-01,138.11666666666667
2016-12-01,138.51612903225808
2017-01-01,175.74193548387098
2017-02-01,161.46428571428572
2017-03-01,163.8709677419355
2017-04-01,130.31666666666666
2017-05-01,100.6774193548387
2017-06-01,100.38
